*,Lj_1
1,12.1891103111828nH
2,9.75128824894622nH
3,10.2388526613935nH
4,10.7264170738408nH
5,11.2139814862882nH
6,11.7015458987355nH
7,12.6766747236301nH
8,13.1642391360774nH
9,13.6518035485247nH
10,14.139367960972nH
11,14.6269323734193nH
